"kanon","beta","eps","delta","ActivityID","AggSeconds","minMCC","Inliers","N","maxRMSEpct","P1front"
20,0.5,1.39314718055995,7.82608985900878e-05,123456,3600,0.323660582480444,4800,4800,0.567770191720558,0
20,0.5,1.39314718055995,7.82608985900878e-05,123456,3600,0.323660582480444,5600,5600,0.555754078105686,0
20,0.5,1.39314718055995,7.82608985900878e-05,123456,3600,0.323660582480444,6400,6400,0.562856409903665,0
10,0.25,1.18768207245178,3.9823353290558e-05,123456,900,0.658775373499063,5600,5600,0.926836286012567,0
10,0.25,1.18768207245178,3.9823353290558e-05,123456,900,0.658775373499063,6400,6400,0.915769195485981,1
10,0.25,1.18768207245178,3.9823353290558e-05,123456,3600,0.323660582480444,3200,3200,0.972968087442516,0
10,0.25,1.18768207245178,3.9823353290558e-05,123456,3600,0.323660582480444,4000,4000,0.958877061720661,0
10,0.25,1.18768207245178,3.9823353290558e-05,123456,3600,0.323660582480444,4800,4800,0.961244446234498,0
10,0.25,1.18768207245178,3.9823353290558e-05,123456,3600,0.323660582480444,5600,5600,0.973217485455094,0
10,0.25,1.18768207245178,3.9823353290558e-05,123456,3600,0.323660582480444,6400,6400,0.968698995393097,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,10,0.968686751805863,5600,5600,0.529804004501978,1
5,0.1,1.15536051565783,5.49999999999999e-05,123456,10,0.968686751805863,6400,6400,0.530001439993898,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,30,0.959419066729059,5600,5600,0.649860079171251,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,30,0.959419066729059,6400,6400,0.649838182663845,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,60,0.946199327852648,4000,4000,0.78858550847842,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,60,0.946199327852648,4800,4800,0.794310931608831,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,60,0.946199327852648,5600,5600,0.790826184019702,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,60,0.946199327852648,6400,6400,0.788906784076385,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,300,0.843809773479472,3200,3200,1.31225422167614,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,300,0.843809773479472,4000,4000,1.29743445580439,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,300,0.843809773479472,4800,4800,1.29635547263549,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,300,0.843809773479472,5600,5600,1.31649019186527,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,300,0.843809773479472,6400,6400,1.30702554436237,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,900,0.658775373499063,2400,2400,1.60969123431737,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,900,0.658775373499063,3200,3200,1.59842899034182,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,900,0.658775373499063,4000,4000,1.5745743479827,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,900,0.658775373499063,4800,4800,1.58317503938569,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,900,0.658775373499063,5600,5600,1.60801003287013,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,900,0.658775373499063,6400,6400,1.62035513688335,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,3600,0.323660582480444,1600,1600,1.65864229813377,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,3600,0.323660582480444,2400,2400,1.64704534915146,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,3600,0.323660582480444,3200,3200,1.7086481918488,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,3600,0.323660582480444,4000,4000,1.62996554891881,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,3600,0.323660582480444,4800,4800,1.70621400665747,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,3600,0.323660582480444,5600,5600,1.66068247087341,0
5,0.1,1.15536051565783,5.49999999999999e-05,123456,3600,0.323660582480444,6400,6400,1.67877449577473,0
30,0.5,0.893147180559945,9.55382129177449e-05,123456,3600,0.323660582480444,6400,6400,0.562856409903665,0
5,0.05,0.561293294387551,6.36898314453124e-05,123456,10,0.968686751805863,3170,3200,0.767320623345513,0
5,0.05,0.561293294387551,6.36898314453124e-05,123456,10,0.968686751805863,4000,4000,0.769391870082394,0
5,0.05,0.561293294387551,6.36898314453124e-05,123456,10,0.968686751805863,4800,4800,0.766592394151397,0
5,0.05,0.561293294387551,6.36898314453124e-05,123456,10,0.968686751805863,5600,5600,0.765876412229225,1
5,0.05,0.561293294387551,6.36898314453124e-05,123456,10,0.968686751805863,6400,6400,0.767147392107773,0
5,0.05,0.561293294387551,6.36898314453124e-05,123456,30,0.959419066729059,3200,3200,0.948785490889587,0
5,0.05,0.561293294387551,6.36898314453124e-05,123456,30,0.959419066729059,4000,4000,0.949243985024482,0
5,0.05,0.561293294387551,6.36898314453124e-05,123456,30,0.959419066729059,4800,4800,0.945479767808357,0
5,0.05,0.561293294387551,6.36898314453124e-05,123456,30,0.959419066729059,5600,5600,0.946228254745516,0
5,0.05,0.561293294387551,6.36898314453124e-05,123456,30,0.959419066729059,6400,6400,0.946144485908255,0
5,0.05,0.561293294387551,6.36898314453124e-05,123456,60,0.946199327852648,3200,3200,1.15118811016278,0
5,0.05,0.561293294387551,6.36898314453124e-05,123456,60,0.946199327852648,4000,4000,1.15118285030229,0
5,0.05,0.561293294387551,6.36898314453124e-05,123456,60,0.946199327852648,4800,4800,1.14756953824772,0
